T 64/64 E:1.64698e+12, T:179878144, Cost:2.96255e+20 Ubuf/Buf/Bus/Mac:1.33258e+11/4.23542e+11/0/3.23155e+10 NoC(hops=89524557568, DRAM acc=9275428864) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 907809472
	encoder1_Kt5 1 (K:8,H:8,W:1,B:1) util:100/100 E:6.27878e+06, T:1024, Cost:6.42947e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=401408, DRAM acc=65536) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 5120
	encoder1_Kt6 1 (K:8,H:8,W:1,B:1) util:100/100 E:6.27878e+06, T:1024, Cost:6.42947e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=401408, DRAM acc=65536) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 5120
	encoder1_Kt7 1 (K:8,H:8,W:1,B:1) util:100/100 E:6.27878e+06, T:1024, Cost:6.42947e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=401408, DRAM acc=65536) Buffer(max=10752, avg=10752) Buffer(max=0, avg=0) Buffer(max=512, avg=512) 32768/0/32768 Max NoC: 5120
	S 1/1 E:5.36013e+08, T:56832, Cost:3.04627e+13 Ubuf/Buf/Bus/Mac:5.03088e+07/1.3269e+08/0/1.00947e+07 NoC(hops=41486976, DRAM acc=1843200) Buffer(max=534528, avg=190464) Buffer(max=262144, avg=262144) Buffer(max=0, avg=0) Max NoC: 1290496
		encoder1_K 1 (W:1,H:1,B:1,K:1) util:100/100 E:2.67946e+07, T:4096, Cost:1.09751e+11 Ubuf/Buf/Bus/Mac:767007/0/0/22885.2 NoC(hops=1835008, DRAM acc=262144) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 262144/0/262144 Max NoC: 229376
		encoder1_V 1 (H:15,W:1,B:1,K:1) util:100/100 E:8.93641e+07, T:8960, Cost:8.00702e+11 Ubuf/Buf/Bus/Mac:5.81183e+06/3.1072e+07/0/2.47726e+06 NoC(hops=3267840, DRAM acc=528384) Buffer(max=28160, avg=27716.3) Buffer(max=262144, avg=262144) Buffer(max=17920, avg=17476.3) 262144/262144/262144 Max NoC: 68224
		encoder1_QK 1 (H:15,W:1,B:1,K:1) util:100/100 E:1.28207e+08, T:8960, Cost:1.14873e+12 Ubuf/Buf/Bus/Mac:1.85149e+07/3.85423e+07/0/2.47726e+06 NoC(hops=9454208, DRAM acc=262144) Buffer(max=290304, avg=289860) Buffer(max=0, avg=0) Buffer(max=280064, avg=279620) 262144/262144/2097152 Max NoC: 297216
		encoder1_QK_elt 1 (K:2,H:2,W:1,B:1) util:100/100 E:6.15529e+07, T:8192, Cost:5.04241e+11 Ubuf/Buf/Bus/Mac:6.13606e+06/0/0/183081 NoC(hops=9863168, DRAM acc=0) Buffer(max=534528, avg=534528) Buffer(max=0, avg=0) Buffer(max=524288, avg=524288) 2097152/0/2097152 Max NoC: 557056
		encoder1_QKV 1 (H:7,K:2,W:1,B:1) util:100/100 E:1.25802e+08, T:9472, Cost:1.1916e+12 Ubuf/Buf/Bus/Mac:1.23038e+07/3.25339e+07/0/2.44423e+06 NoC(hops=11212800, DRAM acc=262144) Buffer(max=292864, avg=291109) Buffer(max=0, avg=0) Buffer(max=282624, avg=280869) 2097152/262144/262144 Max NoC: 1064960
		encoder1_FC 1 (H:14,W:1,B:1,K:1) util:100/100 E:4.65668e+07, T:9472, Cost:4.4108e+11 Ubuf/Buf/Bus/Mac:5.51746e+06/3.05419e+07/0/2.44423e+06 NoC(hops=1395968, DRAM acc=4096) Buffer(max=29184, avg=28964.6) Buffer(max=262144, avg=262144) Buffer(max=18944, avg=18724.6) 262144/262144/262144 Max NoC: 67840
		encoder1_elt1 1 (W:1,H:1,B:1,K:1) util:100/100 E:5.77256e+07, T:8192, Cost:4.72888e+11 Ubuf/Buf/Bus/Mac:1.25779e+06/0/0/45770.3 NoC(hops=4457984, DRAM acc=524288) Buffer(max=534528, avg=534528) Buffer(max=0, avg=0) Buffer(max=524288, avg=524288) 524288/0/262144 Max NoC: 435712
	encoder1_feedfwd1 1 (H:8,K:8,W:1,B:1) util:100/100 E:2.89616e+08, T:20736, Cost:6.00547e+12 Ubuf/Buf/Bus/Mac:1.82886e+07/1.18752e+08/0/9.66368e+06 NoC(hops=11300864, DRAM acc=1327104) Buffer(max=43008, avg=43008) Buffer(max=131072, avg=131072) Buffer(max=32768, avg=32768) 262144/1048576/1048576 Max NoC: 166400
	encoder1_feedfwd2 1 (H:32,K:2,W:1,B:1) util:100/100 E:3.28536e+08, T:20736, Cost:6.81251e+12 Ubuf/Buf/Bus/Mac:4.32409e+07/1.29532e+08/0/9.66368e+06 NoC(hops=11870208, DRAM acc=1327104) Buffer(max=43008, avg=43008) Buffer(max=524288, avg=524288) Buffer(max=32768, avg=32768) 1048576/1048576/262144 Max NoC: 102400
	encoder1_elt2 1 (K:8,H:8,W:1,B:1) util:100/100 E:7.54641e+07, T:12288, Cost:9.27303e+11 Ubuf/Buf/Bus/Mac:1.25779e+06/0/0/45770.3 NoC(hops=4816896, DRAM acc=786432) Buffer(max=18432, avg=18432) Buffer(max=0, avg=0) Buffer(max=8192, avg=8192) 524288/0/262144 Max NoC: 49152
	encoder2_K2 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
	encoder2_K0 1 (H:64,W:1,B:1,K:1) util:100/100 E:3.64412e+07, T:4616, Cost:1.68213e+11 Ubuf/Buf/Bus/Mac:3.134e+06/4.98364e+06/0/301990 NoC(hops=1838592, DRAM acc=295424) Buffer(max=14336, avg=14336) Buffer(max=32768, avg=32768) Buffer(max=4096, avg=4096) 262144/32768/32768 Max NoC: 14624
	S 1/1 E:3.09694e+08, T:38000, Cost:1.17684e+13 Ubuf/Buf/Bus/Mac:1.35224e+07/5.45731e+07/0/4.24856e+06 NoC(hops=16326848, DRAM acc=2432000) Buffer(max=75776, avg=46080) Buffer(max=131072, avg=87004.7) Buffer(max=0, avg=0) Max NoC: 163392
		encoder2_K5 1 (H:5,W:1,B:1,K:1) util:100/100 E:3.12051e+07, T:4104, Cost:1.28066e+11 Ubuf/Buf/Bus/Mac:1.04229e+06/3.98811e+06/0/303759 NoC(hops=1805632, DRAM acc=262656) Buffer(max=62976, avg=62668.8) Buffer(max=32768, avg=32768) Buffer(max=52736, avg=52428.8) 262144/32768/32768 Max NoC: 79104
		encoder2_K3 1 (H:5,W:1,B:1,K:1) util:100/100 E:3.00213e+07, T:4104, Cost:1.23207e+11 Ubuf/Buf/Bus/Mac:1.04229e+06/3.98811e+06/0/303759 NoC(hops=1594240, DRAM acc=262656) Buffer(max=62976, avg=62668.8) Buffer(max=32768, avg=32768) Buffer(max=52736, avg=52428.8) 262144/32768/32768 Max NoC: 65920
