T 64/16 E:6.55472e+11, T:256896832, Cost:1.68389e+20 Ubuf/Buf/Bus/Mac:5.58395e+10/1.88202e+11/0/9.62255e+10 NoC(hops=29298073600, DRAM acc=2518929408) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 311360000
		encoder6_elt2 4 (H:8,K:2,B:4,W:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		word_embed_dec 4 (K:2,B:4,H:8,W:1) util:100/100 E:2.00921e+08, T:32768, Cost:6.58378e+12 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/91540.7 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 163840
		decoder1_self_attn_q_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.54598e+08, T:131072, Cost:2.02634e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1048576) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		decoder1_self_attn_k_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.55581e+08, T:131072, Cost:2.03923e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1064960) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		decoder1_self_attn_v_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:5.67002e+07, T:131072, Cost:7.43181e+12 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=1032192, DRAM acc=16384) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 14336
		decoder1_self_attn_semi_attn 4 (K:16,B:4,W:1,H:1) util:100/100 E:5.9078e+08, T:393216, Cost:2.32304e+14 Ubuf/Buf/Bus/Mac:9.53358e+07/0/0/1.40606e+08 NoC(hops=40894464, DRAM acc=2097152) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 3145728/0/1048576 Max NoC: 458752
		decoder1_elt1 4 (K:16,B:4,W:1,H:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
		decoder1_cross_attn_q_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.54598e+08, T:131072, Cost:2.02634e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1048576) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 147456
		decoder1_cross_attn_k_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.55581e+08, T:131072, Cost:2.03923e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1064960) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
		decoder1_cross_attn_v_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:5.67002e+07, T:131072, Cost:7.43181e+12 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=1032192, DRAM acc=16384) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 14336
		decoder1_cross_attn_semi_attn 4 (K:16,B:4,W:1,H:1) util:100/100 E:5.9078e+08, T:393216, Cost:2.32304e+14 Ubuf/Buf/Bus/Mac:9.53358e+07/0/0/1.40606e+08 NoC(hops=40894464, DRAM acc=2097152) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 3145728/0/1048576 Max NoC: 458752
		decoder1_elt2 4 (K:16,B:4,W:1,H:1) util:100/100 E:2.02976e+08, T:32768, Cost:6.65111e+12 Ubuf/Buf/Bus/Mac:5.03117e+06/0/0/183081 NoC(hops=12845056, DRAM acc=2097152) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 2097152/0/1048576 Max NoC: 163840
	T 4/4 E:1.77052e+09, T:98304, Cost:1.7405e+14 Ubuf/Buf/Bus/Mac:2.03018e+08/9.87602e+08/0/7.74925e+07 NoC(hops=54607872, DRAM acc=3276800) Buffer(max=108544, avg=108544) Buffer(max=393216, avg=393216) Buffer(max=0, avg=0) Max NoC: 468992
		decoder1_feedfwd1 1 (H:8,K:8,W:1,B:1) util:100/100 E:1.90735e+08, T:8192, Cost:1.5625e+12 Ubuf/Buf/Bus/Mac:1.82886e+07/1.18752e+08/0/9.66368e+06 NoC(hops=4878336, DRAM acc=278528) Buffer(max=43008, avg=43008) Buffer(max=131072, avg=131072) Buffer(max=32768, avg=32768) 262144/1048576/1048576 Max NoC: 43520
		decoder1_feedfwd2 1 (H:16,K:4,W:1,B:1) util:100/100 E:2.01152e+08, T:8192, Cost:1.64784e+12 Ubuf/Buf/Bus/Mac:3.12081e+07/1.28148e+08/0/9.66368e+06 NoC(hops=5562368, DRAM acc=16384) Buffer(max=75776, avg=75776) Buffer(max=262144, avg=262144) Buffer(max=65536, avg=65536) 1048576/1048576/262144 Max NoC: 50176
		decoder1_elt3 1 (H:16,K:4,W:1,B:1) util:100/100 E:5.07439e+07, T:8192, Cost:4.15694e+11 Ubuf/Buf/Bus/Mac:1.25779e+06/0/0/45770.3 NoC(hops=3211264, DRAM acc=524288) Buffer(max=18432, avg=18432) Buffer(max=0, avg=0) Buffer(max=8192, avg=8192) 524288/0/262144 Max NoC: 40960
	decoder2_self_attn_q_proj 4 (K:64,W:1,H:1,B:1) util:100/100 E:1.55581e+08, T:131072, Cost:2.03923e+13 Ubuf/Buf/Bus/Mac:3.06803e+06/0/0/4.68688e+07 NoC(hops=7454720, DRAM acc=1064960) Buffer(max=26624, avg=26624) Buffer(max=0, avg=0) Buffer(max=16384, avg=16384) 1048576/0/1048576 Max NoC: 139264
