T 64/8 E:9.67797e+11, T:280227648, Cost:2.71203e+20 Ubuf/Buf/Bus/Mac:4.15406e+10/1.86932e+11/0/9.64365e+10 NoC(hops=53058207744, DRAM acc=5762699264) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 594246144
	decoder2_feedfwd2 8 (H:8,K:2,B:4,W:1) util:100/100 E:2.21522e+09, T:165888, Cost:3.67478e+14 Ubuf/Buf/Bus/Mac:9.84334e+07/9.78214e+08/0/7.73094e+07 NoC(hops=75759616, DRAM acc=10616832) Buffer(max=272384, avg=272384) Buffer(max=524288, avg=524288) Buffer(max=262144, avg=262144) 8388608/1048576/2097152 Max NoC: 655360
	decoder2_elt3 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	decoder3_self_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.24389e+09, T:786432, Cost:9.78232e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=75235328, DRAM acc=8388608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
	decoder3_self_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
	decoder3_elt1 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	decoder3_cross_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.60665e+09, T:786432, Cost:1.26352e+15 Ubuf/Buf/Bus/Mac:6.94499e+07/0/0/2.81213e+08 NoC(hops=111935488, DRAM acc=10485760) Buffer(max=534528, avg=534528) Buffer(max=0, avg=0) Buffer(max=524288, avg=524288) 4194304/0/6291456 Max NoC: 1392640
	decoder3_cross_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
	decoder3_elt2 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	decoder3_feedfwd1 8 (B:4,K:4,H:4,W:1) util:100/100 E:2.12259e+09, T:165888, Cost:3.52111e+14 Ubuf/Buf/Bus/Mac:7.06929e+07/9.26531e+08/0/7.73094e+07 NoC(hops=73400320, DRAM acc=10616832) Buffer(max=141312, avg=141312) Buffer(max=262144, avg=262144) Buffer(max=131072, avg=131072) 2097152/1048576/8388608 Max NoC: 1179648
	decoder3_feedfwd2 8 (H:8,K:2,B:4,W:1) util:100/100 E:2.21522e+09, T:165888, Cost:3.67478e+14 Ubuf/Buf/Bus/Mac:9.84334e+07/9.78214e+08/0/7.73094e+07 NoC(hops=75759616, DRAM acc=10616832) Buffer(max=272384, avg=272384) Buffer(max=524288, avg=524288) Buffer(max=262144, avg=262144) 8388608/1048576/2097152 Max NoC: 655360
	decoder3_elt3 8 (K:2,B:4,H:8,W:1) util:100/100 E:6.03713e+08, T:98304, Cost:5.93474e+13 Ubuf/Buf/Bus/Mac:1.00623e+07/0/0/366163 NoC(hops=38535168, DRAM acc=6291456) Buffer(max=75776, avg=75776) Buffer(max=0, avg=0) Buffer(max=65536, avg=65536) 4194304/0/2097152 Max NoC: 393216
	decoder4_self_attn_proj 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.24389e+09, T:786432, Cost:9.78232e+14 Ubuf/Buf/Bus/Mac:3.80396e+07/0/0/2.81213e+08 NoC(hops=75235328, DRAM acc=8388608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 2097152/0/6291456 Max NoC: 1064960
	decoder4_self_attn_core 8 (B:8,K:8,W:1,H:1) util:100/100 E:1.57093e+09, T:790528, Cost:1.24186e+15 Ubuf/Buf/Bus/Mac:9.64407e+07/0/0/2.82678e+08 NoC(hops=122945536, DRAM acc=8388608) Buffer(max=796672, avg=796672) Buffer(max=0, avg=0) Buffer(max=786432, avg=786432) 6291456/0/2097152 Max NoC: 1228800
